weight (kg), angle (rad), samples, force_1 (N), force_2 (N), force_3 (N), force_5 (N), force_6 (N), force_7 (N), force_8 (N), force_10 (N), std_1 (N), std_2 (N), std_3 (N), std_5 (N), std_6 (N), std_7 (N), std_8 (N), std_10 (N)
0.01, 0.0, 309.0, 0.43542296169173045, 0.47429442320559484, 0.33697214468868536, 0.35276472080397714, 0.2257632749925838, 0.1944072587091617, 0.3170153495096094, 0.35328200592462733, 0.0005489164838123955, 0.000952771861503858, 0.00014193148507827828, 0.0011476456210822341, 0.00041184210029053135, 0.0008604115793786216, 0.0006252618513000395, 0.0005489921280402903
0.02, 0.0, 346.0, 0.48714395319406584, 0.47464833636052245, 0.33714502284905074, 0.3196251913768178, 0.2205663324319911, 0.1573956028260965, 0.3512176763251504, 0.3542006266560934, 0.0013324292803965803, 0.0009741808816172816, 0.0002056474113202784, 0.0009491045887226399, 0.0008152050378443053, 0.0008594007847049661, 0.0011255645878140064, 0.0009155589802120707
0.03, 0.0, 351.0, 0.5428236753524879, 0.4734903351876628, 0.3369562129210396, 0.2831769515562689, 0.2121299528397292, 0.12335946697187704, 0.3959896977519039, 0.35439855643313145, 0.0021891567911267347, 0.001175941531666704, 0.00019949023884899267, 0.0016489415706324399, 0.0008651291163399628, 0.0017220901569718744, 0.0018138114665331015, 0.000989613674330509
0.04, 0.0, 312.0, 0.5771312338491056, 0.4733919571529171, 0.3367303713339508, 0.26115922888192705, 0.20558827264688573, 0.09804143139162791, 0.41167856093402283, 0.3549808249181405, 0.0007400363984031049, 0.0013815916262336844, 0.0001829302452419926, 0.0016306225101368442, 0.0006580474583835055, 0.002276328159063602, 0.0010852658436823384, 0.0011084322963226664
0.05, 0.0, 311.0, 0.6431166162824752, 0.47128630492495716, 0.33666890787788195, 0.22171378360800917, 0.19416599635655554, 0.0699889703621718, 0.464561728760158, 0.35529328313417363, 0.00209652960581362, 0.0016158933773995153, 0.0001500656034334786, 0.000734848088716475, 0.0010933193669231953, 0.0011140030482935058, 0.00207113832983571, 0.0012082088632412902
0.06, 0.0, 554.0, 0.7314900865698882, 0.46926305856592454, 0.33660882594782066, 0.16674274629266536, 0.17942193884777688, 0.03750887146138945, 0.5353466555307504, 0.3507889629685341, 0.0017448735793456932, 0.020571974406201156, 0.00013508334094840157, 0.001841689695761792, 0.0003732661539039288, 0.001624891497061772, 0.0023521792007798045, 0.00040906381569764147
0.07, 0.0, 476.0, 0.848725518737173, 0.4676896134304705, 0.33666757606858333, 0.13456629989137192, 0.1641502002217707, 0.011379317510352304, 0.6100776123472347, 0.35241913244129275, 0.0049280137830657374, 0.0009467888796373156, 0.00013382971969250706, 0.002066323734289684, 0.0006303754495582174, 0.0009336987098583797, 0.003840617613158024, 0.0009804900348781335
0.08, 0.0, 598.0, 0.8660451870239599, 0.46790990837211693, 0.3366514907857165, 0.12592451068126934, 0.16223772910353407, 0.00882001177021655, 0.6187032869662678, 0.35243415322804333, 0.00247325760307537, 0.000750751962327569, 0.00020430673848544637, 0.001279718831207666, 0.0005680063159258707, 0.0004889099697346227, 0.00153177142746957, 0.0006277410313167865
0.01, 1.5707963267948966, 472.0, 0.3651765569169159, 0.3337548525807132, 0.19533563398987122, 0.300899893289356, 0.09203973011941802, 0.2002702058226569, 0.24636365184521886, 0.4286177465957584, 0.0012185209512883713, 0.002192890253574158, 0.0011789540615743188, 0.0006912802112329127, 0.0005276372684025198, 0.0007016085008428471, 0.0010117311417040065, 0.001648623963254038
0.02, 1.5707963267948966, 485.0, 0.36776255131663743, 0.27120345312081073, 0.20171408732238896, 0.2942179467777597, 0.09711466295063316, 0.18870524485761186, 0.24508510406194775, 0.5162328114021881, 0.0007864878859882206, 0.0040086999547168855, 0.0005169430746367954, 0.0007738041375258469, 0.0008713098696105547, 0.0007548416104696382, 0.0006670547322289624, 0.002363614688922444
0.03, 1.5707963267948966, 381.0, 0.3628721003152062, 0.2601646337534342, 0.20481945764593776, 0.3092456066916896, 0.13847238767373704, 0.15131730008663224, 0.24384433361857702, 0.5598474527754519, 0.0007682792358460872, 0.001723483466129732, 0.0004390566577887406, 0.001319483454038718, 0.0008635309661712825, 0.0013308645417322632, 0.0006852838193552133, 0.002107736606270031
0.04, 1.5707963267948966, 279.0, 0.36789550324187387, 0.23679916208672985, 0.2077706400209843, 0.32567452944480546, 0.19931648090859008, 0.10486032031517643, 0.24040440361118087, 0.6420634193110867, 0.0005310832975034542, 0.001303213428851707, 0.0003719003783352546, 0.0009694128949172738, 0.0008926598203562436, 0.0011560277462520322, 0.0006786473408258436, 0.0016687431942822876
0.05, 1.5707963267948966, 305.0, 0.3736232886602191, 0.216245328954659, 0.21040929553674426, 0.3452435145671868, 0.2650857879491162, 0.06294969514584411, 0.23886524058949882, 0.7341130251413055, 0.0007438931600842568, 0.001886208473730227, 0.0001747686914295954, 0.001184981958460499, 0.0017870856955852805, 0.001271779135400726, 0.0007866355624325207, 0.0036303649836334937
0.06, 1.5707963267948966, 286.0, 0.3998898883488384, 0.21665365181924476, 0.21238973315665152, 0.3744059933214727, 0.33728506465786784, 0.02698912925408802, 0.2416081685578342, 0.8178279547568761, 0.0008277412718906562, 0.0017850441892925117, 0.00017010494650675077, 0.0010186335395441235, 0.0014952707003366237, 0.001355401618722791, 0.0009682471539493375, 0.003224604622863304
0.07, 1.5707963267948966, 320.0, 0.4418817856731528, 0.2213126528441035, 0.2138488904714272, 0.40052998649515537, 0.40626889744023376, 0.006637516155300059, 0.2449581916681723, 0.9061290705863215, 0.0007163838334436332, 0.001178410686677351, 0.00014671994396382485, 0.0011088149791211345, 0.0016604129687150064, 0.0007506172287215865, 0.00045453196994398677, 0.003929480531335752
0.08, 1.5707963267948966, 158.0, 0.47061857623824893, 0.2302253682295481, 0.21434909196940366, 0.42164465093636555, 0.43124563657089976, 0.003339577394688023, 0.2508484670962703, 0.9274349217722897, 0.0007487635016033425, 0.0004158454938182435, 8.01831885603949e-05, 0.0007321802366159215, 0.000930877796885794, 0.0001920735687362445, 0.000606259758703929, 0.0017664741856772519
0.0, 1.5707963267948966, 234.0, 0.4009438413755366, 0.3620701172482737, 0.2068903071783494, 0.2857947314423299, 0.08962524435418236, 0.2641038895379423, 0.2428775147832705, 0.4133228646819251, 0.0008765832956611423, 0.0006526589994516352, 0.00011858309089839391, 0.0008284925747001221, 0.0005424808757620958, 0.0030469989556462336, 0.000611585933357454, 0.0008193614270040967
